quarter,period_end,release_date,total_revenue_m,reported_revenue_change_pct,currency_neutral_revenue_change_pct,brand_revenue_m,brand_reported_change_pct,brand_cn_change_pct,wholesale_revenue_m,wholesale_reported_change_pct,wholesale_cn_change_pct,retail_revenue_m,retail_reported_change_pct,retail_cn_change_pct,ecom_revenue_m,ecom_reported_change_pct,ecom_cn_change_pct,gross_margin_pct,gross_margin_change_bps,operating_profit_m,operating_margin_pct,net_income_m,net_income_change_pct,diluted_eps,eps_change_pct,inventories_m,inventory_change_pct,cash_and_short_investments_m
Q4 2025,2025-12-31,2026-03-04,6076,2,11,6076,2,11,3600,-5,2,1214,10,17,1034,14,21,50.8,100,164,2.7,85,415,0.42,262,5832,17,1617
Q1 2026,2026-03-31,2026-04-29,6592,7,14,6592,7,14,4085,3,8,1339,13,19,1141,19,25,51.1,-100,705,10.7,484,11,2.7,12,5661,13,928
Q2 2026,2026-06-30,2026-07-30,6743,13,14,6743,13,14,3825,6,6,1571,20,23,1338,24,27,52.5,80,574,8.5,398,6,2.1,3,5969,13,1159
